device_id;timestamp;pressure_value;temp_value;humidity_value
BME680;2025-12-18-11-53-13;0.97118;19.8298;49.351
BME680;2025-12-18-12-03-16;0.97116;19.7964;50.6156
BME680;2025-12-18-12-13-20;0.97113;19.7655;48.9627
BME680;2025-12-18-12-23-23;0.97105;19.7314;50.7253
BME680;2025-12-18-12-33-26;0.97098;19.6945;47.1143
BME680;2025-12-18-12-43-29;0.9709;19.6646;50.1921
BME680;2025-12-18-12-53-32;0.97075;19.6289;47.6343
BME680;2025-12-18-13-03-35;0.97058;19.6025;51.3972
BME680;2025-12-18-13-13-38;0.97047;19.5767;48.5914
BME680;2025-12-18-13-23-42;0.97032;19.5497;48.4599
BME680;2025-12-18-13-33-45;0.97015;19.5248;47.0586
BME680;2025-12-18-13-43-48;0.97003;19.4997;47.5591
BME680;2025-12-18-13-53-51;0.9699;19.4847;48.4222
BME680;2025-12-18-14-03-54;0.96977;19.465;47.2213
BME680;2025-12-18-14-13-58;0.96964;19.45;47.9427
BME680;2025-12-18-14-24-01;0.96953;19.4363;48.9789
BME680;2025-12-18-14-34-04;0.96943;19.4201;48.0789
BME680;2025-12-18-14-44-07;0.96932;19.4071;48.4068
BME680;2025-12-18-14-54-10;0.96924;19.4004;48.5956
BME680;2025-12-18-15-04-13;0.96918;19.3883;47.4917
BME680;2025-12-18-15-14-16;0.96911;19.3781;50.1884
BME680;2025-12-18-15-24-20;0.96907;19.3676;49.3628
BME680;2025-12-18-15-34-23;0.96907;19.3558;48.2056
BME680;2025-12-18-15-44-26;0.96906;19.3415;49.286
BME680;2025-12-18-15-54-29;0.96901;19.3214;47.023
BME680;2025-12-18-16-04-32;0.96896;19.3061;47.5913
BME680;2025-12-18-16-14-35;0.96895;19.2937;49.8333
BME680;2025-12-18-16-24-38;0.969;19.2749;47.2355
BME680;2025-12-18-16-34-41;0.96906;19.2625;48.8723
BME680;2025-12-18-16-44-44;0.9691;19.2466;49.7535
BME680;2025-12-18-16-54-48;0.9691;19.2377;53.0475
BME680;2025-12-18-17-04-51;0.96912;19.224;51.7664
BME680;2025-12-18-19-12-15;0.9754;22.0503;42.5047
BME680;2025-12-18-19-12-39;0.97541;22.008;44.2186
BME680;2025-12-18-19-13-28;0;0;0
BME680;2025-12-18-19-20-00;0;0;0
BME680;2025-12-18-19-34-31;0.97539;21.4372;48.6888
BME680;2025-12-18-19-40-00;0.97542;21.0478;37.7045
